# ESX host list,
Host,IPaddress
,192.168.91.161
,192.168.91.162
,192.168.91.163
,192.168.91.164
,192.168.91.165
,192.168.91.166
,192.168.91.167
,192.168.91.168
,192.168.91.169
,192.168.91.170
,192.168.91.171
,192.168.91.172
,192.168.91.173
,192.168.91.174
,192.168.91.175
vmimp01,192.168.91.176
vmimp02,192.168.91.177
vmimp03,192.168.91.178
vmimp04,192.168.91.179
vmimp05,192.168.91.180
vmimp06,192.168.91.181
vmimp07,192.168.91.182
vmimp08,192.168.91.183
,192.168.91.187
,192.168.91.188
,192.168.91.211
,192.168.91.212
,192.168.91.213
,192.168.91.214
,192.168.91.215

